transition_id,incident_id,recorded_at,from_status,to_status,actor,note,priority,source_module,business_domain
ARK-TRN-00001,ARK-INC-00013,2026-09-03T19:46:11.291Z,new,acknowledged,M. Brandt,picked up by the assigned planner,P1,cmapss_rul,asset_reliability
ARK-TRN-00002,ARK-INC-00013,2026-09-03T19:46:11.473Z,acknowledged,in_containment,M. Brandt,unit pulled from the schedule pending inspection,P1,cmapss_rul,asset_reliability
ARK-TRN-00003,ARK-INC-00013,2026-09-03T19:46:11.672Z,in_containment,resolved,M. Brandt,"inspection completed, part replaced",P1,cmapss_rul,asset_reliability
ARK-TRN-00004,ARK-INC-00013,2026-09-03T19:46:11.887Z,resolved,closed,M. Brandt,reviewed and closed,P1,cmapss_rul,asset_reliability
ARK-TRN-00005,ARK-INC-00016,2026-09-03T19:46:42.884Z,new,false_positive,S. Kasatov,"attribution test record, not a real engine; kept for threshold tuning",P1,cmapss_rul,asset_reliability
ARK-TRN-00006,ARK-INC-00032,2026-09-03T19:46:56.749Z,new,acknowledged,T. Vogel,picked up by the assigned planner,P2,gc10_detect,visual_inspection
ARK-TRN-00007,ARK-INC-00032,2026-09-03T19:47:21.927Z,acknowledged,in_containment,T. Vogel,unit pulled from the schedule pending inspection,P2,gc10_detect,visual_inspection
ARK-TRN-00008,ARK-INC-00032,2026-09-03T19:47:47.094Z,in_containment,resolved,T. Vogel,"inspection completed, part replaced",P2,gc10_detect,visual_inspection
ARK-TRN-00009,ARK-INC-00032,2026-09-03T19:48:12.283Z,resolved,in_containment,T. Vogel,unit pulled from the schedule pending inspection,P2,gc10_detect,visual_inspection
ARK-TRN-00010,ARK-INC-00032,2026-09-03T19:48:37.455Z,in_containment,resolved,T. Vogel,"inspection completed, part replaced",P2,gc10_detect,visual_inspection
ARK-TRN-00011,ARK-INC-00032,2026-09-03T19:49:02.634Z,resolved,closed,T. Vogel,reviewed and closed,P2,gc10_detect,visual_inspection
ARK-TRN-00012,ARK-INC-00042,2026-09-05T15:39:03.172Z,new,acknowledged,M. Sato,"truck held at the depot, workshop slot requested",P1,scania_aps,fleet_reliability
ARK-TRN-00013,ARK-INC-00040,2026-09-05T15:39:03.323Z,new,acknowledged,D. Keller,"picked up by the maintenance planner, test log pulled",P3,cmapss_rul,asset_reliability
ARK-TRN-00014,ARK-INC-00040,2026-09-05T15:39:24.305Z,acknowledged,resolved,D. Keller,"borescope confirmed HPC blade wear, module swapped and re-run",P3,cmapss_rul,asset_reliability
ARK-TRN-00015,ARK-INC-00045,2026-09-05T15:39:45.343Z,new,acknowledged,A. Novak,component pulled from the line for a look under magnification,P2,mvtec_anomaly,visual_inspection
ARK-TRN-00016,ARK-INC-00045,2026-09-05T15:40:06.499Z,acknowledged,false_positive,A. Novak,"component within drawing tolerance, returned to the line",P2,mvtec_anomaly,visual_inspection
ARK-TRN-00017,ARK-INC-00047,2026-09-05T16:01:49.142Z,new,acknowledged,M. Brandt,"picked up by the maintenance planner, test log pulled",P2,cmapss_rul,asset_reliability
ARK-TRN-00018,ARK-INC-00040,2026-09-05T16:01:49.315Z,resolved,closed,R. Ortiz,reviewed and closed by the Quality Manager,P3,cmapss_rul,asset_reliability
ARK-TRN-00019,ARK-INC-00047,2026-09-05T16:19:31.475Z,acknowledged,in_containment,M. Brandt,engine taken off the test schedule pending borescope inspection,P2,cmapss_rul,asset_reliability
ARK-TRN-00020,ARK-INC-00041,2026-09-05T16:19:31.627Z,new,false_positive,P. Lindt,"section clean, part released to machining",P3,casting_cv,visual_inspection
ARK-TRN-00021,ARK-INC-00043,2026-09-05T16:19:31.783Z,new,acknowledged,A. Novak,"coil flagged at the mill, strip sample taken",P3,neu_surface,visual_inspection
ARK-TRN-00022,ARK-INC-00042,2026-09-05T16:30:39.991Z,acknowledged,resolved,M. Sato,"air dryer cartridge replaced, road test passed",P1,scania_aps,fleet_reliability
ARK-TRN-00023,ARK-INC-00044,2026-09-05T16:30:40.174Z,new,acknowledged,L. Fischer,manufacturer and component carried into the monthly review,P3,nhtsa_nlp,field_quality
